#SampleID,mean,std
g__Aenigmomphiscola,4.947293e-09,1.9502988e-06
g__Aeolosoma,1.3631507e-06,0.00022855095
g__Aeolothrips,7.2837325e-10,3.7374988e-07
g__Aepinus,2.272163e-09,1.165914e-06
g__Aequabiliella,1.2955354e-08,3.5968092e-06
g__Aequorea,8.7112755e-07,0.00019358622
g__Aequorivita,3.0504416e-05,0.002432225
g__Aeribacillus,4.2153496e-07,5.960874e-05
g__Aeriscardovia,7.4564973e-06,0.00051191385
g__Aerococcus,0.0004934321,0.006627803
g__Aeromicrobium,0.00013824478,0.0019881024
g__Aeromonas,0.0004481195,0.008136178
g__Aeropyrum,8.475073e-07,0.00017704257
g__Aerosakkonema,1.0946129e-08,3.9718598e-06
g__Aerosphaera,7.058321e-06,0.0004048102
g__Aestuariibacter,5.4431523e-05,0.001260192
g__Aestuariibaculum,2.5634805e-07,9.303496e-05
g__Aestuariicella,2.9435705e-05,0.0010474197
g__Aestuariimicrobium,1.9057934e-05,0.0004394318
g__Aestuariispira,3.4070365e-06,0.00023825979
g__Aestuariivita,4.06616e-06,0.00015596206
g__Aestuariivivens,2.8810696e-08,6.707485e-06
g__Aetea,3.4788865e-08,6.0605457e-06
g__Aetherobacter,7.7545075e-05,0.0014449578
g__Aetokthonos,5.940731e-08,7.2095695e-06
g__Afifella,1.2787226e-06,9.217381e-05
g__Afipia,2.7109421e-05,0.000795709
g__Afrarchaea,3.8861353e-10,1.9940911e-07
g__Afrochthonius,1.180553e-09,4.2946783e-07
g__Afrosternophorus,1.0001657e-09,3.65557e-07
g__Afurcagobius,1.6327458e-09,6.26377e-07
g__Agalma,7.019104e-09,3.6017102e-06
g__Agapanthus,1.3096276e-07,6.7200875e-05
g__Agaribacter,2.0017626e-06,0.00018946733
g__Agaricicola,1.2081045e-06,9.4984534e-05
g__Agaricus,3.302197e-07,0.000108306434
g__Agarivorans,6.571256e-06,0.00022327277
g__Agathobacter,0.0031411375,0.012355024
g__Agelas,8.8171035e-09,2.906204e-06
g__Aggregata,1.0076063e-09,5.170327e-07
